,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Dur,Age,Spent,Living_Status,Children_Count,Family_Member_Count,Is_Parent,Clusters
525,0,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,83635200000000000,38,42,1,1,3,1,2
526,1,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,32313600000000000,66,1291,1,0,2,0,1
527,1,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,10540800000000000,47,442,1,0,2,0,2
528,0,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,62899200000000000,60,1895,0,0,1,0,1
529,1,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,54864000000000000,64,411,1,2,4,1,0
530,2,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,56937600000000000,49,521,0,1,2,1,0
531,0,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,38361600000000000,55,1168,0,1,2,1,0
532,1,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,14774400000000000,47,493,1,2,4,1,0
533,0,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,51062400000000000,62,260,1,2,4,1,3
534,0,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46396800000000000,42,46,0,1,2,1,2
535,1,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,34300800000000000,73,319,1,1,3,1,0
536,0,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,27820800000000000,57,96,1,1,3,1,3
537,0,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,25401600000000000,57,1062,0,0,1,0,1
538,2,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,41904000000000000,72,232,1,1,3,1,0
539,1,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,30067200000000000,43,76,0,1,2,1,2
540,2,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,44323200000000000,47,54,1,1,3,1,2
541,0,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,78710400000000000,55,201,0,1,2,1,2
542,1,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,63763200000000000,40,406,0,1,2,1,2
543,1,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,44582400000000000,42,1919,1,0,2,0,1
544,0,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,52617600000000000,48,662,1,1,3,1,0
545,2,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,10800000000000000,34,41,1,1,3,1,2
546,0,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,13651200000000000,60,1600,0,0,1,0,1
547,0,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,54777600000000000,44,134,1,1,3,1,2
548,0,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,27129600000000000,56,69,1,2,4,1,3
549,1,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,21772800000000000,51,21,1,2,4,1,3
550,2,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,21600000000000000,61,54,0,2,3,1,3
551,0,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,10713600000000000,35,91,0,1,2,1,2
552,1,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,13564800000000000,53,526,0,1,2,1,0
553,0,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,51580800000000000,61,162,1,0,2,0,2
554,1,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,46915200000000000,75,1008,1,0,2,0,1
555,0,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,62812800000000000,72,240,1,2,4,1,0
556,1,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,60652800000000000,46,795,0,1,2,1,0
557,0,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,50198400000000000,42,1772,1,0,2,0,1
558,2,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,55123200000000000,54,64,1,0,2,0,2
559,0,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,48643200000000000,65,1957,1,1,3,1,0
560,0,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,39139200000000000,46,78,1,1,3,1,2
561,0,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,46483200000000000,44,1572,0,0,1,0,1
562,1,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,45705600000000000,53,795,1,1,3,1,0
563,2,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,28080000000000000,54,889,1,1,3,1,0
564,1,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,49593600000000000,61,331,0,1,2,1,0
565,1,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,13219200000000000,74,265,1,1,3,1,3
566,0,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,81043200000000000,62,1065,0,1,2,1,0
567,1,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,44496000000000000,73,11,1,2,4,1,3
568,0,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,49939200000000000,45,21,0,1,2,1,2
569,0,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,75772800000000000,54,17,1,2,4,1,3
570,0,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,62812800000000000,50,369,1,1,3,1,0
571,1,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,27043200000000000,56,38,1,2,4,1,3
572,2,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,38793600000000000,46,177,0,1,2,1,2
573,1,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,60220800000000000,54,279,1,1,3,1,0
574,1,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,57369600000000000,43,62,1,1,3,1,2
575,1,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,58233600000000000,47,1230,1,1,3,1,0
576,0,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,29030400000000000,56,182,1,2,4,1,3
577,0,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,40608000000000000,54,49,1,2,4,1,3
578,1,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,38534400000000000,58,75,1,2,4,1,3
579,1,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,39312000000000000,68,227,1,2,4,1,3
580,1,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,67910400000000000,50,215,1,2,4,1,3
581,0,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,54259200000000000,73,444,1,1,3,1,0
582,2,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,35596800000000000,57,47,1,2,4,1,3
583,1,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,51840000000000000,73,143,1,0,2,0,2
584,0,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,23932800000000000,41,55,1,1,3,1,2
585,2,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,20044800000000000,53,63,1,2,4,1,3
586,0,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,69465600000000000,69,1867,0,0,1,0,1
587,1,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,38707200000000000,63,611,1,1,3,1,0
588,0,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,17539200000000000,69,473,1,1,3,1,0
589,0,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,40867200000000000,65,55,1,0,2,0,2
590,1,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,62726400000000000,40,81,0,1,2,1,2
591,1,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,62553600000000000,49,2086,1,0,2,0,1
592,1,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,36374400000000000,59,1478,0,0,1,0,1
593,0,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,26784000000000000,47,49,1,1,3,1,2
594,1,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,33868800000000000,52,382,1,0,2,0,2
595,1,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,38275200000000000,49,69,1,1,3,1,2
596,0,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,66614400000000000,55,67,0,1,2,1,2
597,1,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,35683200000000000,55,30,1,2,4,1,3
598,2,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,52617600000000000,46,63,1,1,3,1,2
599,0,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,72662400000000000,43,79,1,1,3,1,2
600,0,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,56419200000000000,63,42,0,1,2,1,2
601,0,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,71452800000000000,64,819,1,1,3,1,0
602,0,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,38448000000000000,69,1151,0,0,1,0,1
603,1,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,70416000000000000,76,594,1,2,4,1,0
604,1,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,58665600000000000,58,129,1,2,4,1,3
605,1,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,61084800000000000,38,213,0,1,2,1,2
606,0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2937600000000000,51,67,0,1,2,1,3
607,0,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,34387200000000000,68,28,0,3,4,1,3
608,2,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,66614400000000000,49,45,1,1,3,1,2
609,0,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,13305600000000000,59,1193,1,0,2,0,1
610,1,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,40953600000000000,55,268,0,0,1,0,2
611,1,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,43718400000000000,80,266,0,0,1,0,2
612,2,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,65145600000000000,51,37,1,1,3,1,2
613,0,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,34905600000000000,57,37,1,3,5,1,3
614,1,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,70502400000000000,55,882,0,0,1,0,1
615,0,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,43027200000000000,50,373,1,2,4,1,0
616,1,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,47433600000000000,59,35,0,3,4,1,3
617,1,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,55296000000000000,48,107,1,2,4,1,3
618,0,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,54259200000000000,46,42,0,2,3,1,3
619,1,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,72662400000000000,64,326,1,1,3,1,0
620,1,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,34041600000000000,63,404,1,1,3,1,0
621,0,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,44064000000000000,53,95,0,0,1,0,2
622,0,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,5529600000000000,75,939,0,0,1,0,1
623,2,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,29635200000000000,46,33,0,1,2,1,2
624,2,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,55296000000000000,69,981,1,0,2,0,1
625,0,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,59184000000000000,48,36,1,1,3,1,2
626,0,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,55296000000000000,49,1237,0,1,2,1,0
627,0,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,69638400000000000,64,1825,1,1,3,1,0
628,1,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,78624000000000000,47,103,0,2,3,1,3
629,0,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,62035200000000000,47,191,0,1,2,1,2
630,1,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,33004800000000000,54,1586,1,1,3,1,0
631,1,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,15206400000000000,66,963,1,0,2,0,1
632,2,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,28080000000000000,54,889,1,1,3,1,0
633,2,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,25401600000000000,64,93,0,0,1,0,2
634,0,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,51580800000000000,51,1587,0,0,1,0,1
635,0,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,5529600000000000,62,16,0,3,4,1,3
636,0,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,52617600000000000,72,1375,0,0,1,0,1
637,0,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,42508800000000000,62,393,1,1,3,1,0
638,1,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,69033600000000000,74,1477,0,1,2,1,0
639,0,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,46915200000000000,53,1179,1,1,3,1,0
640,0,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,81216000000000000,64,1005,1,1,3,1,0
641,1,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,17884800000000000,76,1348,1,0,2,0,1
642,1,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,60998400000000000,65,1307,0,1,2,1,0
643,0,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,44841600000000000,60,486,0,1,2,1,0
644,1,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,37065600000000000,77,2252,1,0,2,0,1
645,1,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,41040000000000000,53,235,1,2,4,1,0
646,0,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,59097600000000000,54,1724,1,0,2,0,1
647,1,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,30931200000000000,54,235,0,1,2,1,2
648,1,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,17020800000000000,47,1092,1,1,3,1,0
649,0,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,38534400000000000,66,599,1,1,3,1,0
650,1,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,25228800000000000,64,2008,0,0,1,0,1
651,0,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,71798400000000000,39,48,1,1,3,1,2
652,0,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,62899200000000000,50,1174,1,1,3,1,0
653,1,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,20476800000000000,74,67,1,1,3,1,3
654,0,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,86659200000000000,69,365,0,1,2,1,0
655,0,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13564800000000000,49,6,0,0,1,0,2
656,0,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,21513600000000000,71,165,1,1,3,1,3
657,2,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,69552000000000000,66,210,1,0,2,0,2
658,1,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,39916800000000000,77,1095,1,1,3,1,0
659,1,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,35510400000000000,58,223,0,3,4,1,3
660,0,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,75772800000000000,61,597,1,1,3,1,0
661,0,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,33436800000000000,39,22,1,1,3,1,2
662,0,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,29894400000000000,49,1064,0,1,2,1,0
663,2,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,76032000000000000,44,74,1,0,2,0,2
664,1,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,60825600000000000,68,26,1,0,2,0,2
665,0,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,61171200000000000,65,60,1,0,2,0,2
666,1,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,49161600000000000,50,20,1,1,3,1,3
667,2,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,37756800000000000,37,59,0,1,2,1,2
668,1,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,39484800000000000,56,34,1,1,3,1,2
669,2,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,44323200000000000,53,198,1,2,4,1,3
670,1,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,42768000000000000,60,1048,1,1,3,1,0
671,1,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,41644800000000000,62,574,0,2,3,1,0
672,0,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,62812800000000000,54,1029,0,1,2,1,0
673,0,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,30672000000000000,44,670,1,1,3,1,0
674,1,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,91497600000000000,49,990,0,1,2,1,0
675,0,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,17107200000000000,50,11,1,2,4,1,3
676,1,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,66268800000000000,61,1241,1,1,3,1,0
677,0,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,26611200000000000,45,576,0,0,1,0,1
678,2,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,46483200000000000,39,172,1,1,3,1,2
679,1,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,30067200000000000,44,664,0,0,1,0,1
680,0,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,35769600000000000,61,928,0,1,2,1,0
681,0,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,71539200000000000,57,2074,0,0,1,0,1
682,2,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,43113600000000000,42,467,1,0,2,0,1
683,0,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,35251200000000000,69,257,1,1,3,1,3
684,0,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,30412800000000000,57,1146,1,0,2,0,1
685,1,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,45014400000000000,48,689,0,1,2,1,0
686,1,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,62812800000000000,52,2114,0,0,1,0,1
687,1,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,83980800000000000,42,1717,1,0,2,0,1
688,1,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,17625600000000000,35,1346,1,0,2,0,1
689,1,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,37324800000000000,55,1044,1,0,2,0,1
690,1,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,83808000000000000,64,493,0,1,2,1,0
691,0,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,40435200000000000,54,957,0,0,1,0,1
692,1,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,31449600000000000,66,270,1,1,3,1,3
693,2,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,57283200000000000,72,29,1,0,2,0,2
694,1,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,48038400000000000,75,121,0,2,3,1,3
695,1,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,43027200000000000,63,126,1,2,4,1,3
696,0,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,22032000000000000,29,23,0,0,1,0,2
697,1,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,42249600000000000,75,57,0,2,3,1,3
698,0,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,54864000000000000,63,636,0,0,1,0,1
699,0,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,8035200000000000,64,1004,1,0,2,0,1
700,0,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,38448000000000000,51,734,0,1,2,1,0
701,0,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,259200000000000,46,614,1,2,4,1,0
702,0,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,2937600000000000,46,1453,0,1,2,1,0
703,1,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,19094400000000000,36,1621,0,0,1,0,1
704,1,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,29808000000000000,56,187,0,1,2,1,2
705,0,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,37238400000000000,38,1443,1,1,3,1,0
706,1,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,13996800000000000,54,57,0,1,2,1,2
707,0,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,36979200000000000,73,637,0,1,2,1,0
708,1,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,32832000000000000,76,948,1,1,3,1,0
709,1,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,37238400000000000,53,59,1,1,3,1,2
710,0,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,31449600000000000,38,18,1,1,3,1,2
711,1,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,67046400000000000,59,903,0,1,2,1,0
712,0,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,56505600000000000,49,112,0,1,2,1,2
713,0,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,49334400000000000,71,596,1,0,2,0,1
714,0,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,44582400000000000,42,233,1,1,3,1,3
